timestamp,__uom,__icon,__color,mnemonic,value,_1,severity,title,sev_alarm,mne_alarm
2020-02-17T14:00:00.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:00.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:00.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:00.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:00.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:00.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:00.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:01.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:01.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:01.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:01.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:01.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:01.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:01.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:02.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:02.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:02.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:02.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:02.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:02.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:02.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:03.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:03.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:03.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:03.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:03.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:03.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:03.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:04.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:04.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:04.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:04.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:04.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:04.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:04.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:05.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:05.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:05.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:05.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:05.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:05.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:05.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:06.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:06.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:06.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:06.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:06.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:06.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:06.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:07.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:07.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:07.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:07.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:07.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:07.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:07.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:08.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:08.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:08.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:08.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:08.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:08.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:08.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:09.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:09.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,0.0,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:09.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:09.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:09.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:09.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:09.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:10.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:10.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:10.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:10.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:10.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:10.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:10.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:11.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:11.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:11.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:11.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:11.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:11.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:11.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:12.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:12.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:12.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:12.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:12.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:12.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:12.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:13.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,-39458.75,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:13.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:13.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:13.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:13.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1008.07,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:13.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:13.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:14.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:14.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:14.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:14.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:14.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1008.07,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:14.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:14.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:15.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:15.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,0.0,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:15.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:15.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:15.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:15.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:15.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:16.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:16.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:16.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:16.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:16.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:16.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:16.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:17.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:17.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:17.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:17.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:17.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:17.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:17.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:18.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:18.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:18.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:18.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:18.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
2020-02-17T14:00:18.000+0000,,check,#adadad,BP_PITVOL_CMT1,,1.0,,Tank Volume - Cement Unit Tank 1,,BP_PITVOL_CMT1
2020-02-17T14:00:18.000+0000,,check,#adadad,BP_PITVOL_CMT2,,1.0,,Tank Volume - Cement Unit Tank 2,,BP_PITVOL_CMT2
2020-02-17T14:00:19.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
2020-02-17T14:00:19.000+0000,Pa,check,#adadad,BP_PRESS_CMT_2,39458.63,1.0,,Pressure - Cement Pump #2,,BP_PRESS_CMT_2
2020-02-17T14:00:19.000+0000,m3/s,check,#adadad,BP_CMT_FI_AVG,0.0,1.0,,Flow In - Cement,,BP_CMT_FI_AVG
2020-02-17T14:00:19.000+0000,m3,check,#adadad,BP_CMT_VOL,0.01,1.0,,Volume Pumped - Cement,,BP_CMT_VOL
2020-02-17T14:00:19.000+0000,kg/m3,check,#adadad,BP_CMT_DI_AVG,1009.22,1.0,,Density In - Cement,,BP_CMT_DI_AVG
